,tweet_id,tweet_text,tweet_image_url,retweet_count,favorite_count,follwers_count,day_tweeted,time_tweeted,date_tweeted,dog_ratings_numeratore,dog_ratings_denominatore,tweet_text_url,dog_stage,twitter_source,tweet_type,name
0,892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,8853,39467,3200889,tuesday,16:23:56,2017-08-01,13,10,https://t.co/MgUWQ76dJU,floof,Twitter for iPhone,Tweet,Phineas
1,892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,6514,33819,3200889,tuesday,00:17:27,2017-08-01,13,10,https://t.co/0Xxu71qeIV,floof,Twitter for iPhone,Tweet,Tilly
2,891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,4328,25461,3200889,monday,00:18:03,2017-07-31,12,10,https://t.co/wUnZnhtVJB,floof,Twitter for iPhone,Tweet,Archie
3,891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,8964,42908,3200889,sunday,15:58:51,2017-07-30,13,10,https://t.co/tD36da7qLQ,floof,Twitter for iPhone,Tweet,Darla
4,891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",https://twitter.com/dog_rates/status/891327558926688256/photo/1,9774,41048,3200889,saturday,16:00:24,2017-07-29,12,10,https://t.co/AtUZn91f7f,floof,Twitter for iPhone,Tweet,Franklin
5,891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,3261,20562,3200889,saturday,00:08:17,2017-07-29,13,10,https://t.co/kQ04fDDRmh,floof,Twitter for iPhone,Tweet,None
6,890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",https://twitter.com/dog_rates/status/890971913173991426/photo/1,2158,12041,3200889,friday,16:27:12,2017-07-28,13,10,https://t.co/Zr4hWfAs1Hhttps://t.co/tVJBRMnhxl,floof,Twitter for iPhone,Tweet,Jax
7,890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,https://twitter.com/dog_rates/status/890729181411237888/photo/1,16716,56848,3200889,friday,00:22:40,2017-07-28,13,10,https://t.co/v0nONBcwxq,floof,Twitter for iPhone,Tweet,None
8,890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,4429,28226,3200889,Thursday,16:25:51,2017-07-27,13,10,https://t.co/9TwLuAGH0b,floof,Twitter for iPhone,Tweet,Zoey
9,890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,7711,32467,3200889,wednessday,15:59:51,2017-07-26,14,10,https://t.co/t1bfwz5S2A,doggo,Twitter for iPhone,Tweet,Cassie
10,890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,https://twitter.com/dog_rates/status/890006608113172480/photo/1,7624,31166,3200889,wednessday,00:31:25,2017-07-26,13,10,https://t.co/dVPW0B0Mme,floof,Twitter for iPhone,Tweet,Koda
11,889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://twitter.com/dog_rates/status/889880896479866881/photo/1,5156,28268,3200889,tuesday,16:11:53,2017-07-25,13,10,https://t.co/u1XPQMl29g,floof,Twitter for iPhone,Tweet,Bruno
12,889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,https://twitter.com/dog_rates/status/889665388333682689/photo/1,8538,38818,3200889,tuesday,01:55:32,2017-07-25,13,10,https://t.co/BxvuXk0UCm,puppo,Twitter for iPhone,Tweet,None
13,889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,https://twitter.com/dog_rates/status/889638837579907072/photo/1,4735,27672,3200889,tuesday,00:10:02,2017-07-25,12,10,https://t.co/f8dEDcrKSR,floof,Twitter for iPhone,Tweet,Ted
14,889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,https://twitter.com/dog_rates/status/889531135344209921/photo/1,2321,15359,3200889,monday,17:02:04,2017-07-24,13,10,https://t.co/y70o6h3isq,puppo,Twitter for iPhone,Tweet,Stuart
15,889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,https://twitter.com/dog_rates/status/889278841981685760/video/1,5637,25652,3200889,monday,00:19:32,2017-07-24,13,10,https://t.co/WpHvrQedPb,floof,Twitter for iPhone,Tweet,Oliver
16,888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,https://twitter.com/dog_rates/status/888917238123831296/photo/1,4709,29611,3200889,sunday,00:22:39,2017-07-23,12,10,https://t.co/chxruIOUJN,floof,Twitter for iPhone,Tweet,Jim
17,888804989199671297,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,https://twitter.com/dog_rates/status/888804989199671297/photo/1,4559,26080,3200889,saturday,16:56:37,2017-07-22,13,10,https://t.co/HTQ77yNQ5K,floof,Twitter for iPhone,Tweet,Zeke
18,888554962724278272,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,https://twitter.com/dog_rates/status/888554962724278272/photo/1,3732,20290,3200889,saturday,00:23:06,2017-07-22,13,10,https://t.co/YnYAFCTTiK,floof,Twitter for iPhone,Tweet,Ralphus
19,888078434458587136,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,https://twitter.com/dog_rates/status/888078434458587136/photo/1,3653,22201,3200889,Thursday,16:49:33,2017-07-20,12,10,https://t.co/DK7iDPfuRX,floof,Twitter for iPhone,Tweet,Gerald
20,887705289381826560,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,https://twitter.com/dog_rates/status/887705289381826560/photo/1,5609,30779,3200890,wednessday,16:06:48,2017-07-19,13,10,https://t.co/PhrUk20Q64,floof,Twitter for iPhone,Tweet,Jeffrey
21,887517139158093824,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,https://twitter.com/dog_rates/status/887517139158093824/video/1,12082,46959,3200890,wednessday,03:39:09,2017-07-19,14,10,https://t.co/20VrLAA8ba,floof,Twitter for iPhone,Tweet,such
22,887473957103951883,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,https://twitter.com/dog_rates/status/887473957103951883/photo/1,18781,69871,3200890,wednessday,00:47:34,2017-07-19,13,10,https://t.co/cLyzpcUcMX,floof,Twitter for iPhone,Tweet,Canela
23,887343217045368832,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,https://twitter.com/dog_rates/status/887343217045368832/video/1,10737,34222,3200890,tuesday,16:08:03,2017-07-18,13,10,https://t.co/WZqNqygEyV,floof,Twitter for iPhone,Tweet,None
